fornavn,år,antall
Anne-Kari,2020,205.0
Anne-Kari,2021,
Anne-Kari,2022,
Anne-Kari,2023,
Anne-Kari,2024,
Anne-Karin,2013,595.0
Anne-Karin,2014,587.0
Anne-Karin,2015,577.0
Anne-Karin,2016,578.0
Anne-Karin,2017,572.0
Anne-Karin,2018,564.0
Anne-Karin,2019,558.0
Anne-Karin,2020,548.0
Anne-Karin,2021,
Anne-Karin,2022,
Anne-Karin,2023,
Anne-Karin,2024,
Anne-Kristin,2013,220.0
Anne-Kristin,2014,219.0
Anne-Kristin,2015,217.0
Anne-Kristin,2016,218.0
Anne-Kristin,2017,215.0
Anne-Kristin,2018,212.0
Anne-Kristin,2019,211.0
Anne-Kristin,2020,207.0
Anne-Kristin,2021,
Anne-Kristin,2022,
Anne-Kristin,2023,
Anne-Kristin,2024,
Anne-Lene,2013,240.0
Anne-Lene,2014,241.0
Anne-Lene,2015,242.0
Anne-Lene,2016,241.0
Anne-Lene,2017,242.0
Anne-Lene,2018,242.0
Anne-Lene,2019,242.0
Anne-Lene,2020,241.0
Anne-Lene,2021,
Anne-Lene,2022,
Anne-Lene,2023,
Anne-Lene,2024,
Anne-Lise,2013,3112.0
Anne-Lise,2014,3077.0
Anne-Lise,2015,3049.0
Anne-Lise,2016,3014.0
Anne-Lise,2017,2975.0
Anne-Lise,2018,2920.0
Anne-Lise,2019,2868.0
Anne-Lise,2020,2814.0
Anne-Lise,2021,
Anne-Lise,2022,
Anne-Lise,2023,
Anne-Lise,2024,
Anne-Mari,2013,358.0
Anne-Mari,2014,356.0
Anne-Mari,2015,353.0
Anne-Mari,2016,349.0
Anne-Mari,2017,344.0
