fornavn,år,antall
Artem,2021,
Artem,2022,394.0
Artem,2023,769.0
Artem,2024,978.0
Arthur,2013,1372.0
Arthur,2014,1354.0
Arthur,2015,1331.0
Arthur,2016,1338.0
Arthur,2017,1361.0
Arthur,2018,1383.0
Arthur,2019,1400.0
Arthur,2020,1461.0
Arthur,2021,1523.0
Arthur,2022,1580.0
Arthur,2023,1642.0
Arthur,2024,1695.0
Artur,2013,1115.0
Artur,2014,1201.0
Artur,2015,1251.0
Artur,2016,1235.0
Artur,2017,1256.0
Artur,2018,1257.0
Artur,2019,1289.0
Artur,2020,1309.0
Artur,2021,1332.0
Artur,2022,1417.0
Artur,2023,1538.0
Artur,2024,1614.0
Arturas,2013,360.0
Arturas,2014,388.0
Arturas,2015,402.0
Arturas,2016,388.0
Arturas,2017,401.0
Arturas,2018,406.0
Arturas,2019,408.0
Arturas,2020,415.0
Arturas,2021,408.0
Arturas,2022,407.0
Arturas,2023,412.0
Arturas,2024,417.0
Arunas,2013,300.0
Arunas,2014,331.0
Arunas,2015,337.0
Arunas,2016,335.0
Arunas,2017,334.0
Arunas,2018,334.0
Arunas,2019,346.0
Arunas,2020,351.0
Arunas,2021,354.0
Arunas,2022,358.0
Arunas,2023,358.0
Arunas,2024,363.0
Arve,2013,4512.0
Arve,2014,4471.0
Arve,2015,4426.0
Arve,2016,4377.0
Arve,2017,4331.0
Arve,2018,4291.0
Arve,2019,4241.0
Arve,2020,4193.0
Arve,2021,4167.0
Arve,2022,4098.0
Arve,2023,4050.0
Arve,2024,3988.0
Arvid,2013,5914.0
Arvid,2014,5788.0
Arvid,2015,5640.0
Arvid,2016,5491.0
Arvid,2017,5366.0
Arvid,2018,5241.0
Arvid,2019,5127.0
Arvid,2020,4997.0
Arvid,2021,4877.0
Arvid,2022,4732.0
Arvid,2023,4602.0
Arvid,2024,4465.0
Arvin,2013,
Arvin,2014,
Arvin,2015,
Arvin,2016,
Arvin,2017,
Arvin,2018,
